Date,Expiry,En_Date,Ce_En_Date,Pe_En_Date,Ce_Ex_Date,Pe_Ex_Date,Fut_En_Price,Atm_strike,Ce_Short_strike,Pe_Short_strike,Ce_Long_strike,Pe_Long_strike,Ce_Short_En_Price,Ce_Short_Ex_Price,Pe_Short_En_Price,Pe_Short_Ex_Price,Ce_Long_En_Price,Ce_Long_Ex_Price,Pe_Long_En_Price,Pe_Long_Ex_Price,Initial_Premium,Exit_Premium,Returns_Abs,Quantity,Lot_Size,Total_Abs_Return,Total_Capital_Return,Total_Pct_Return,Pfolio_Total_Daily_Drawdown,Pfolio_Max_Daily_Drawdown
2017-01-02,2017-01-05 0:00,2017-01-02 10:30,2017-01-02 10:30,2017-01-02 10:30,2017-01-05 14:30:59,2017-01-05 14:30:59,18067.95,18100.0,18100.0,18100.0,18400.0,17700.0,89.95,21.5,171.45,18.9,25.45,0.05,32.35,0.05,204.0,40.0,163.0,1,100,16330.0,1016330.0,1.633,0.0,0.0
2017-01-03,2017-01-05 0:00,2017-01-03 10:30,2017-01-03 10:30,2017-01-03 10:30,2017-01-05 14:45:59,2017-01-05 14:45:59,18107.0,18100.0,18100.0,18100.0,18500.0,17700.0,90.3,27.2,136.55,8.65,12.1,0.05,21.6,0.05,193.0,36.0,157.0,1,100,15740.0,1032070.0,1.574,0.0,0.0
2017-01-04,2017-01-05 0:00,2017-01-04 10:30,2017-01-04 10:30,2017-01-04 10:30,2017-01-05 15:03:59,2017-01-05 15:03:59,18048.05,18000.0,18000.0,18000.0,18400.0,17700.0,94.45,118.3,82.0,0.1,6.4,0.05,11.75,0.05,158.0,118.0,40.0,1,100,4000.0,1036070.0,0.4,0.0,0.0
2017-01-05,2017-01-05 0:00,2017-01-05 10:30,2017-01-05 10:30,2017-01-05 10:30,2017-01-05 15:03:59,2017-01-05 15:03:59,18079.7,18100.0,18100.0,18100.0,18400.0,17700.0,20.0,29.95,79.05,0.6,0.2,0.05,0.35,0.05,98.0,30.0,68.0,1,100,6805.0,1042875.0,0.6805,0.0,0.0
2017-01-06,2017-01-12 0:00,2017-01-06 10:30,2017-01-06 10:30,2017-01-06 10:30,2017-01-11 10:54:59,2017-01-11 10:54:59,18340.0,18300.0,18300.0,18300.0,18700.0,18000.0,129.0,284.25,137.0,4.85,19.5,28.3,46.8,1.1,200.0,260.0,-60.0,1,100,-6000.0,1036875.0,-0.6,-0.006,-0.006
2017-01-09,2017-01-12 0:00,2017-01-09 10:30,2017-01-09 10:30,2017-01-09 10:30,2017-01-11 13:12:59,2017-01-11 13:12:59,18359.1,18400.0,18400.0,18400.0,18700.0,18000.0,78.25,355.6,160.0,4.1,10.75,103.0,30.75,0.65,197.0,256.0,-59.0,1,100,-5930.0,1030945.0,-0.593,-0.0119,-0.0119
2017-01-10,2017-01-12 0:00,2017-01-10 10:30,2017-01-10 10:30,2017-01-10 10:30,2017-01-11 12:45:59,2017-01-11 12:45:59,18361.75,18400.0,18400.0,18400.0,18700.0,18000.0,64.45,293.55,135.9,5.75,5.15,62.0,14.55,0.9,181.0,236.0,-56.0,1,100,-5575.0,1025370.0,-0.5575,-0.0175,-0.0175
2017-01-11,2017-01-12 0:00,2017-01-11 10:30,2017-01-11 10:30,2017-01-11 10:30,2017-01-11 13:12:59,2017-01-11 13:12:59,18625.9,18600.0,18600.0,18600.0,19000.0,18300.0,58.35,172.0,82.65,16.0,0.9,9.55,7.25,2.4,133.0,176.0,-43.0,1,100,-4320.0,1021050.0,-0.432,-0.0218,-0.0218
2017-01-12,2017-01-12 0:00,2017-01-12 10:30,2017-01-12 10:30,2017-01-12 10:30,2017-01-12 15:01:59,2017-01-12 15:01:59,18860.0,18900.0,18900.0,18900.0,19200.0,18500.0,21.15,3.0,79.2,15.0,0.55,0.05,0.95,0.05,99.0,18.0,81.0,1,100,8095.0,1029145.0,0.8095,-0.0137,-0.0218
2017-01-13,2017-01-19 0:00,2017-01-13 10:30,2017-01-13 10:30,2017-01-13 10:30,2017-01-16 12:55:59,2017-01-16 12:55:59,18830.0,18800.0,18800.0,18800.0,19200.0,18500.0,131.7,290.0,137.45,41.45,26.7,59.45,42.6,11.95,200.0,260.0,-60.0,1,100,-6020.0,1023125.0,-0.602,-0.0198,-0.0218
